PuzzleId,FEN,Moves,Rating,RatingDeviation,Popularity,Themes,GameUrl
puzzle_1773927622244_0,"rnbqkbnr/pp1ppppp/8/2p5/4P3/8/PPPP1PPP/RNBQKBNR w KQkq c6 0 2","e4 c5 Nf3 d6 Be2 Nf6 O-O e6 Nc3 Be7 f4 O-O a4 Nc6",2072,100,50,"strategy","https://lichess.org/puzzle/puzzle_1773927622244_0"
puzzle_1773927622244_1,"rnbqkbnr/pp3ppp/4p3/2ppP3/2P5/8/PP1P1PPP/RNBQKBNR w KQkq - 0 4","e4 c5 Nf3 d6 Be2 Nf6 O-O e6 Nc3 Be7 f4 O-O a4 Nc6 Be3 a6 Qe1 Nh7",1042,100,50,"pin","https://lichess.org/puzzle/puzzle_1773927622244_1"
puzzle_1773927622244_2,"rnbqkbnr/pp2pppp/8/2pp4/2P5/8/PP1PPPPP/RNBQKBNR w KQkq d6 0 3","e4 c5 Nf3 d6 Be2",1347,100,50,"sacrifice","https://lichess.org/puzzle/puzzle_1773927622244_2"
puzzle_1773927622244_3,"rnbqkbnr/pp1ppppp/8/2p5/2P5/8/PP1PPPPP/RNBQKBNR w KQkq c6 0 2","e4 c5 Nf3 d6 Be2 Nf6 O-O e6 Nc3 Be7 f4",1333,100,50,"fork","https://lichess.org/puzzle/puzzle_1773927622244_3"
puzzle_1773927622244_4,"rnbqkbnr/pppp1ppp/8/4p3/4P3/5N2/PPPP1PPP/RNBQKB1R w KQkq e6 0 3","e4 c5 Nf3 d6 Be2 Nf6 O-O e6 Nc3 Be7 f4 O-O a4 Nc6 Be3 a6",1338,100,50,"endgame","https://lichess.org/puzzle/puzzle_1773927622244_4"
puzzle_1773927622244_5,"rnbqkbnr/pppp1ppp/8/4p3/4P3/5N2/PPPP1PPP/RNBQKB1R b KQkq - 1 3","e4 c5 Nf3 d6 Be2 Nf6 O-O e6 Nc3 Be7 f4 O-O a4",1946,100,50,"strategy","https://lichess.org/puzzle/puzzle_1773927622244_5"
puzzle_1773927622244_6,"rnbqkbnr/pppp1ppp/8/4p3/2B1P3/5N2/PPPP1PPP/RNBQK2R b KQkq - 1 4","e4 c5 Nf3 d6 Be2 Nf6 O-O e6 Nc3 Be7 f4 O-O a4 Nc6 Be3 a6 Qe1 Nh7 Qg3",2186,100,50,"middlegame","https://lichess.org/puzzle/puzzle_1773927622244_6"
puzzle_1773927622244_7,"r1bqkbnr/pppp1ppp/2n2n2/4p3/4P3/3P1N2/PPP2PPP/RNBQKB1R w KQkq - 4 4","e4 c5 Nf3 d6 Be2 Nf6 O-O e6 Nc3 Be7 f4 O-O",1174,100,50,"pin","https://lichess.org/puzzle/puzzle_1773927622244_7"
puzzle_1773927622244_8,"r1bqkbnr/pppp1ppp/2n2n2/4p3/4P3/3P1N2/PPP2PPP/RNBQKB1R b KQkq - 0 4","e4 c5 Nf3 d6 Be2",2131,100,50,"opening","https://lichess.org/puzzle/puzzle_1773927622244_8"
puzzle_1773927622244_9,"rnbqkbnr/pppp1ppp/4p3/8/4P3/8/PPPP1PPP/RNBQKBNR w KQkq - 0 2","e4 c5 Nf3 d6 Be2 Nf6 O-O e6 Nc3 Be7 f4 O-O a4",1956,100,50,"middlegame","https://lichess.org/puzzle/puzzle_1773927622244_9"
puzzle_1773927622244_10,"rnbqkbnr/pppp1ppp/4p3/8/4P3/8/PPPP1PPP/RNBQKBNR w KQkq - 0 2","e4 c5 Nf3 d6 Be2 Nf6",1634,100,50,"sacrifice","https://lichess.org/puzzle/puzzle_1773927622244_10"
puzzle_1773927622244_11,"rnbqkbnr/pppp1ppp/4p3/8/3PP3/8/PPP2PPP/RNBQKBNR b KQkq d3 0 3","e4 c5 Nf3 d6 Be2 Nf6 O-O e6 Nc3",977,100,50,"opening","https://lichess.org/puzzle/puzzle_1773927622244_11"
puzzle_1773927622244_12,"rnbqkbnr/pp1ppppp/2p5/8/4P3/8/PPPP1PPP/RNBQKBNR w KQkq - 0 2","e4 c5 Nf3 d6 Be2 Nf6 O-O e6 Nc3 Be7",1981,100,50,"skewer","https://lichess.org/puzzle/puzzle_1773927622244_12"
